Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4,Collection
AuraLite™ Performance T-Shirt,auralite-performance-t-shirt,"<p>Lightweight performance tee built for training and everyday wear. Made from 100% recycled polyester with fast-dry, soft-touch fabric and moisture control.</p><ul><li>100% Recycled Polyester (AuraLite™)</li><li>Fast Dry &amp; Moisture Control</li><li>Soft Touch hand feel</li><li>Oversized boxy fit with dropped shoulders</li><li>Made in Portugal</li></ul>",Tenth Athletic,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,T-Shirt,"Man, Woman, Accessories, New Arrivals, Running, Performance, Technical Wear, Recycled, T-Shirt",TRUE,Active,AURALITE-CHR-S,5784401000,Color,Washed Charcoal,product.metafields.shopify.color-pattern,Size,S,,,,,89.00,108.00,32.00,TRUE,,,,,,shopify,25,DENY,165,g,TRUE,manual,https://cdn.shopify.com/s/files/1/1002/1620/9782/files/product-1-back.png?v=1784190494,1,AuraLite Performance T-Shirt back view in Washed Charcoal,https://cdn.shopify.com/s/files/1/1002/1620/9782/files/product-1-back.png?v=1784190494,FALSE,AuraLite™ Performance T-Shirt | Recycled Running Tee,"Technical running t-shirt in recycled AuraLite™ polyester. Fast-dry, moisture-wicking, soft touch. Available in Washed Charcoal and Olive Brown.",gray; green,Apparel & Accessories > Clothing > Shirts & Tops,Unisex,Adult (13+ years old),,,New,FALSE,Performance,,,,,,Man
,auralite-performance-t-shirt,,,,,,,,AURALITE-CHR-M,5784401001,Color,Washed Charcoal,product.metafields.shopify.color-pattern,Size,M,,,,,89.00,108.00,32.00,TRUE,,,,,,shopify,40,DENY,178,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/1002/1620/9782/files/product-1-back.png?v=1784190494,,,,,,,,,,,,,,,,,,
,auralite-performance-t-shirt,,,,,,,,AURALITE-CHR-L,5784401002,Color,Washed Charcoal,product.metafields.shopify.color-pattern,Size,L,,,,,89.00,108.00,32.00,TRUE,,,,,,shopify,35,DENY,192,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/1002/1620/9782/files/product-1-back.png?v=1784190494,,,,,,,,,,,,,,,,,,
,auralite-performance-t-shirt,,,,,,,,AURALITE-CHR-XL,5784401003,Color,Washed Charcoal,product.metafields.shopify.color-pattern,Size,XL,,,,,89.00,108.00,32.00,TRUE,,,,,,shopify,20,DENY,205,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/1002/1620/9782/files/product-1-back.png?v=1784190494,,,,,,,,,,,,,,,,,,
,auralite-performance-t-shirt,,,,,,,,AURALITE-OLV-S,5784401004,Color,Olive Brown,product.metafields.shopify.color-pattern,Size,S,,,,,89.00,108.00,32.00,TRUE,,,,,,shopify,25,DENY,165,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/1002/1620/9782/files/product-4-lifestyle.png?v=1784190505,,,,,,,,,,,,,,,,,,
,auralite-performance-t-shirt,,,,,,,,AURALITE-OLV-M,5784401005,Color,Olive Brown,product.metafields.shopify.color-pattern,Size,M,,,,,89.00,108.00,32.00,TRUE,,,,,,shopify,40,DENY,178,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/1002/1620/9782/files/product-4-lifestyle.png?v=1784190505,,,,,,,,,,,,,,,,,,
,auralite-performance-t-shirt,,,,,,,,AURALITE-OLV-L,5784401006,Color,Olive Brown,product.metafields.shopify.color-pattern,Size,L,,,,,89.00,108.00,32.00,TRUE,,,,,,shopify,35,DENY,192,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/1002/1620/9782/files/product-4-lifestyle.png?v=1784190505,,,,,,,,,,,,,,,,,,
,auralite-performance-t-shirt,,,,,,,,AURALITE-OLV-XL,5784401007,Color,Olive Brown,product.metafields.shopify.color-pattern,Size,XL,,,,,89.00,108.00,32.00,TRUE,,,,,,shopify,20,DENY,205,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/1002/1620/9782/files/product-4-lifestyle.png?v=1784190505,,,,,,,,,,,,,,,,,,
,auralite-performance-t-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1002/1620/9782/files/product-1-front.png?v=1784190506,2,AuraLite Performance T-Shirt front view with logo,,,,,,,,,,,,,,,,,,,
,auralite-performance-t-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1002/1620/9782/files/product-3-fabric.png?v=1784190570,3,Close-up of AuraLite recycled polyester fabric texture,,,,,,,,,,,,,,,,,,,
,auralite-performance-t-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1002/1620/9782/files/product-2-label.png?v=1784190585,4,AuraLite care label showing material and origin,,,,,,,,,,,,,,,,,,,
,auralite-performance-t-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1002/1620/9782/files/product-4-lifestyle.png?v=1784190505,5,Technical running outfit lifestyle product shot,,,,,,,,,,,,,,,,,,,
,auralite-performance-t-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woman
,auralite-performance-t-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accessories
,auralite-performance-t-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Arrivals
